mapID,VEG,1HR,10HR,100HR,1kHR,10kHR,10k+HR,DUFF,GRASS,SHRUB,CANOPY,LITTER,ROT
110,American beech - Yellow birch - Sugar maple forest,0.4,0.5,1,1,5,0,1,0.10,0.15,19.14,0.01,1.5
114,Virginia pine - Pitch pine -  Shortleaf pine forest,0.2,0.70,0.4,0.3,0.5,0,2,0.16,0.35,4.68,0.04,0.5
115,Rhododendron - Blueberry - Mountain laurel shrubland,0.2,0.70,2,0,0,0,2.5,0.05,7.61,0.21,0.01,0.2
123,White oak - Northern red oak - Black oak - Hickory forest,0.6,1.2,1.6,1.50,1.80,0,2,0.04,1.31,19.35,0.02,0.8
125,Oak - Hickory - Pine - Eastern hemlock forest,0.02,0.4,0.70,1.80,1.80,0,0.7,0.04,1.32,17.21,0.01,0.5
129,Green Ash - American Elm Forest,0.1,0.2,1.50,1.50,1.50,0,1,0.09,0.79,24.70,0.02,1
131,Bluestem - Indian grass - Switchgrass grassland,0,0,0,0,0,0,0,2.39,0.13,0.64,0.92,0
133,Tall fescue - Foxtail - Purple bluestem grassland,0.4,0.2,0,0,0,0,0,2.10,0.27,0.54,0.90,0
135,Eastern redcedar - Oak / Bluestem savanna,0.2,0.4,0.8,0,0,0,0.2,1.25,0.20,1.90,0.25,0
138,Red pine - White pine forest,0.90,1.50,1.90,4.8,5.20,0,1.8,0.08,0.32,12.73,0.03,3.50
140,Jack pine / Black spruce forest,0.3,0.3,0.1,0.4,0,0,1.5,0.58,0.91,5.86,0.14,0.1
142,Trembling aspen - Paper birch forest,0.5,1,3.00,3.00,0,0,2,0.10,0.23,17.25,0.01,1
143,Trembling aspen - Paper birch - White spruce - Balsam fir forest,0.4,0.6,1.30,2,2,0,2,0.43,1.76,25.29,0.07,0.3
147,Jack pine savanna,0.1,0.1,0.1,0.3,0,0,0.4,0.28,0.51,2.46,0.03,0
154,Bur oak savanna,0.2,0.5,0.5,1,0.5,0,0.4,0.18,0.3,13.51,0.12,0
155,Red spruce - Balsam fir forest,0.5,1,0.5,1.50,0.4,0,3,0.05,0.08,7.57,0.00,2.75
